ticker,volume
BTC-PERP,3174082584.5484
ETH-PERP,1870974597.6974
SOL-PERP,713859824.9769
LUNA-PERP,236454369.6842
AVAX-PERP,142498342.8056
FTT-PERP,123236213.7678
FTM-PERP,114675404.55475
LOOKS-PERP,112485755.0585
DOT-PERP,101044793.2141
ADA-PERP,91487674.36941
MATIC-PERP,85019665.55267
SAND-PERP,83224153.56075
ATOM-PERP,80235963.757465
LINK-PERP,70311028.1886
PEOPLE-PERP,64899656.7454
AGLD-PERP,54942030.026
MANA-PERP,53317854.5126
DOGE-PERP,50497238.8119965
LTC-PERP,49425445.8773
BNB-PERP,48382530.29
CRV-PERP,45710103.17075
NEAR-PERP,43525823.4708
XRP-PERP,35396794.062275
AXS-PERP,35018807.1434
GALA-PERP,29592853.63675
XTZ-PERP,29210867.1334913
EOS-PERP,23302729.0394
SUSHI-PERP,22679278.54395
RNDR-PERP,22604950.34395
SPELL-PERP,21282174.68675
ALGO-PERP,20735216.7706
LRC-PERP,20640283.6584
BCH-PERP,17389687.64615
SNX-PERP,14750586.5651
DYDX-PERP,14145208.3071
MAPS-PERP,13537028.2872
FIL-PERP,12857223.9345
AR-PERP,12609144.1655
ENJ-PERP,11878048.69425
AAVE-PERP,11563350.3911
ETC-PERP,11311313.39815
UNI-PERP,11278619.1558
ONE-PERP,11155660.62575
KNC-PERP,11045319.35676
FLOW-PERP,10690293.8862
EGLD-PERP,10528427.58715
SRM-PERP,10210398.365
XLM-PERP,10183090.566725
CRO-PERP,9726041.59525
FIDA-PERP,9380095.6346
ICP-PERP,8838388.7171
GRT-PERP,8376244.09855
VET-PERP,8280233.025545
ZEC-PERP,8231396.157
WAVES-PERP,8083892.44025
COMP-PERP,7608213.763185
TRX-PERP,7551746.44891
KSOS-PERP,7076010.423
1INCH-PERP,7073517.8039
RAY-PERP,7030777.4085
RUNE-PERP,6841623.9712
KSM-PERP,6833355.5364
QTUM-PERP,6650182.1365
CAKE-PERP,6575120.4235
ALICE-PERP,6459930.901
OMG-PERP,6341999.20865
MKR-PERP,6081440.4815
OXY-PERP,5817643.0005
HNT-PERP,5695295.4126
THETA-PERP,5629399.32468
YFI-PERP,5573222.68
SXP-PERP,5518982.17345
MTL-PERP,5394769.15815
LEO-PERP,5172143.5807
KSHIB-PERP,5109098.95124
SLP-PERP,5073600.08775
