symbol,name,ticker,volume
sol,Solana,SOL-PERP,713859824.9769
luna,Terra,LUNA-PERP,236454369.6842
ftt,FTX Token,FTT-PERP,123236213.7678
ftm,Fantom,FTM-PERP,114675404.55475
looks,LooksRare,LOOKS-PERP,112485755.0585
dot,Polkadot,DOT-PERP,101044793.2141
ada,Cardano,ADA-PERP,91487674.36941
matic,Polygon,MATIC-PERP,85019665.55267
sand,The Sandbox,SAND-PERP,83224153.56075
atom,Cosmos,ATOM-PERP,80235963.757465
link,Chainlink,LINK-PERP,70311028.1886
people,ConstitutionDAO,PEOPLE-PERP,64899656.7454
agld,Adventure Gold,AGLD-PERP,54942030.026
mana,Decentraland,MANA-PERP,53317854.5126
doge,Dogecoin,DOGE-PERP,50497238.8119965
ltc,Litecoin,LTC-PERP,49425445.8773
bnb,Binance Coin,BNB-PERP,48382530.29
crv,Curve DAO Token,CRV-PERP,45710103.17075
near,Near,NEAR-PERP,43525823.4708
xrp,XRP,XRP-PERP,35396794.062275
axs,Axie Infinity,AXS-PERP,35018807.1434
gala,Gala,GALA-PERP,29592853.63675
xtz,Tezos,XTZ-PERP,29210867.1334913
eos,EOS,EOS-PERP,23302729.0394
sushi,Sushi,SUSHI-PERP,22679278.54395
rndr,Render Token,RNDR-PERP,22604950.34395
spell,Spell Token,SPELL-PERP,21282174.68675
algo,Algorand,ALGO-PERP,20735216.7706
lrc,Loopring,LRC-PERP,20640283.6584
bch,Bitcoin Cash,BCH-PERP,17389687.64615
snx,Synthetix Network Token,SNX-PERP,14750586.5651
dydx,dYdX,DYDX-PERP,14145208.3071
maps,MAPS,MAPS-PERP,13537028.2872
fil,Filecoin,FIL-PERP,12857223.9345
ar,Arweave,AR-PERP,12609144.1655
enj,Enjin Coin,ENJ-PERP,11878048.69425
aave,Aave,AAVE-PERP,11563350.3911
etc,Ethereum Classic,ETC-PERP,11311313.39815
uni,Uniswap,UNI-PERP,11278619.1558
one,Harmony,ONE-PERP,11155660.62575
knc,Kyber Network Crystal,KNC-PERP,11045319.35676
flow,Flow,FLOW-PERP,10690293.8862
egld,Elrond,EGLD-PERP,10528427.58715
srm,Serum,SRM-PERP,10210398.365
xlm,Stellar,XLM-PERP,10183090.566725
cro,Crypto.com Coin,CRO-PERP,9726041.59525
fida,Bonfida,FIDA-PERP,9380095.6346
icp,Internet Computer,ICP-PERP,8838388.7171
grt,The Graph,GRT-PERP,8376244.09855
vet,VeChain,VET-PERP,8280233.025545
zec,Zcash,ZEC-PERP,8231396.157
waves,Waves,WAVES-PERP,8083892.44025
comp,Compound,COMP-PERP,7608213.763185
trx,TRON,TRX-PERP,7551746.44891
1inch,1inch,1INCH-PERP,7073517.8039
ray,Raydium,RAY-PERP,7030777.4085
rune,THORChain,RUNE-PERP,6841623.9712
ksm,Kusama,KSM-PERP,6833355.5364
qtum,Qtum,QTUM-PERP,6650182.1365
cake,PancakeSwap,CAKE-PERP,6575120.4235
alice,My Neighbor Alice,ALICE-PERP,6459930.901
omg,OMG Network,OMG-PERP,6341999.20865
mkr,Maker,MKR-PERP,6081440.4815
oxy,Oxygen,OXY-PERP,5817643.0005
hnt,Helium,HNT-PERP,5695295.4126
theta,Theta Network,THETA-PERP,5629399.32468
yfi,yearn.finance,YFI-PERP,5573222.68
sxp,Swipe,SXP-PERP,5518982.17345
mtl,Metal,MTL-PERP,5394769.15815
leo,LEO Token,LEO-PERP,5172143.5807
leo,Leo,LEO-PERP,5172143.5807
leo,AstroFarms,LEO-PERP,5172143.5807
kshib,Kilo Shiba Inu,KSHIB-PERP,5109098.95124
slp,Smooth Love Potion,SLP-PERP,5073600.08775
