ticker,volume
BTC-PERP,4463220989.3142
ETH-PERP,2479798556.4537
LUNA-PERP,688778640.3872
SOL-PERP,439811563.2788
FTM-PERP,221122550.2658
SAND-PERP,198877163.13015
AVAX-PERP,151896580.1902
ATOM-PERP,151085350.95908
MATIC-PERP,139293794.781355
DOT-PERP,117385374.7099
ADA-PERP,102797820.662245
BNB-PERP,96299769.20975
FTT-PERP,86396742.46715
NEAR-PERP,84930592.22895
LOOKS-PERP,77673251.4005
DYDX-PERP,74410620.0597
LINK-PERP,67242459.0227
SPELL-PERP,58579616.16075
XRP-PERP,56853307.0469
MANA-PERP,52481522.5782
AXS-PERP,52262097.7119
DOGE-PERP,50646398.921623
REEF-PERP,43136248.92335
LTC-PERP,41073391.8671
GALA-PERP,40739496.72725
CRV-PERP,40720090.01275
SUSHI-PERP,38830951.64795
EOS-PERP,35654996.438625
FLOW-PERP,33346218.6681
USDT-PERP,32311360.3881
BCH-PERP,29989998.6491
CRO-PERP,28482220.329
ALGO-PERP,24961569.3437
LRC-PERP,24400000.61675
RON-PERP,23477059.6627
RSR-PERP,22760227.5953
FIL-PERP,20663211.779
ENJ-PERP,20427157.82385
AAVE-PERP,20106636.0337
XTZ-PERP,18380344.1516239
WAVES-PERP,17559545.94275
OMG-PERP,16872373.95035
UNI-PERP,16148519.3805
ONE-PERP,16019508.96025
SRM-PERP,15625552.754
THETA-PERP,14921776.179865
XLM-PERP,14871154.85595
ICP-PERP,13143442.217
KSHIB-PERP,12892023.12168
SNX-PERP,12304308.70485
SHIB-PERP,12121960.6
PEOPLE-PERP,12015875.3381
KNC-PERP,11905206.7633
ENS-PERP,11842105.2644
STORJ-PERP,11763801.48135
HNT-PERP,11388711.26172
EGLD-PERP,11255218.9485
ZEC-PERP,11200672.991
RUNE-PERP,11093516.7572
CAKE-PERP,9961241.465
BADGER-PERP,9883534.716
SLP-PERP,9788415.17075
XMR-PERP,9749071.2339
CREAM-PERP,9617927.726
COMP-PERP,9593077.408426
CHZ-PERP,9466332.29447
VET-PERP,9289576.33336
RAY-PERP,8288629.8618
TRX-PERP,8249976.9297825
ALICE-PERP,8057509.03725
ROSE-PERP,7836082.4109
1INCH-PERP,7822840.868
BAT-PERP,7426956.0883
GRT-PERP,7397254.37415
PERP-PERP,7194568.0405
YFI-PERP,7193679.785
AR-PERP,7074669.4179
ETC-PERP,7037318.75905
KIN-PERP,6902542.6291
MAPS-PERP,6750100.5829
KSM-PERP,6172882.8984
SXP-PERP,6154727.88105
MKR-PERP,5862876.3305
STX-PERP,5856209.86525
TOMO-PERP,5670706.103655
CHR-PERP,5069506.871
REN-PERP,5068805.803
