symbol,name,ticker,volume
btc,Bitcoin,BTC-PERP,3267675688.4312
eth,Ethereum,ETH-PERP,1932575184.9812
sol,Solana,SOL-PERP,739651691.304825
luna,Terra,LUNA-PERP,231115881.5373
ftt,FTX Token,FTT-PERP,122501061.68735
ftm,Fantom,FTM-PERP,116654112.8712
looks,LooksRare,LOOKS-PERP,114501666.53075
dot,Polkadot,DOT-PERP,106316476.6252
ada,Cardano,ADA-PERP,95280387.577235
matic,Polygon,MATIC-PERP,87860513.6365625
sand,The Sandbox,SAND-PERP,85075831.5009
atom,Cosmos,ATOM-PERP,81794064.19796
link,Chainlink,LINK-PERP,72544454.90675
people,ConstitutionDAO,PEOPLE-PERP,66095390.5311
mana,Decentraland,MANA-PERP,54365349.777
doge,Dogecoin,DOGE-PERP,49252819.636704
bnb,Binance Coin,BNB-PERP,49200156.60675
ltc,Litecoin,LTC-PERP,48845859.5295
crv,Curve DAO Token,CRV-PERP,46768028.33935
agld,Adventure Gold,AGLD-PERP,41170057.86255
near,Near,NEAR-PERP,40390720.3967
xrp,XRP,XRP-PERP,36693415.045925
axs,Axie Infinity,AXS-PERP,34960129.5142
gala,Gala,GALA-PERP,30824071.34975
xtz,Tezos,XTZ-PERP,28487225.8954036
sushi,Sushi,SUSHI-PERP,25470154.2831
eos,EOS,EOS-PERP,23279398.31655
spell,Spell Token,SPELL-PERP,21611956.69225
rndr,Render Token,RNDR-PERP,20696689.00865
lrc,Loopring,LRC-PERP,20234619.9215
algo,Algorand,ALGO-PERP,18540255.3212
bch,Bitcoin Cash,BCH-PERP,18347409.3414
snx,Synthetix Network Token,SNX-PERP,14335269.1549
fil,Filecoin,FIL-PERP,13682374.5005
maps,MAPS,MAPS-PERP,12848313.8366
ar,Arweave,AR-PERP,12254443.4336
enj,Enjin Coin,ENJ-PERP,12073280.83675
dydx,dYdX,DYDX-PERP,11904359.6961
uni,Uniswap,UNI-PERP,11668038.6681
aave,Aave,AAVE-PERP,11517788.7023
flow,Flow,FLOW-PERP,11190659.7094
one,Harmony,ONE-PERP,11167582.9945
etc,Ethereum Classic,ETC-PERP,10952138.18875
egld,Elrond,EGLD-PERP,10886145.8779
srm,Serum,SRM-PERP,10453109.401
xlm,Stellar,XLM-PERP,10331249.931825
knc,Kyber Network Crystal,KNC-PERP,10262171.50144
cro,Crypto.com Coin,CRO-PERP,9966107.708
fida,Bonfida,FIDA-PERP,9550929.0395
grt,The Graph,GRT-PERP,8526471.08685
vet,VeChain,VET-PERP,8187464.101775
waves,Waves,WAVES-PERP,8033511.25175
zec,Zcash,ZEC-PERP,7902356.531
comp,Compound,COMP-PERP,7721651.804899
ray,Raydium,RAY-PERP,7443261.2445
trx,TRON,TRX-PERP,7363320.790195
1inch,1inch,1INCH-PERP,7251750.8911
oxy,Oxygen,OXY-PERP,6968583.83135
rune,THORChain,RUNE-PERP,6907660.9527
mkr,Maker,MKR-PERP,6710176.9905
alice,My Neighbor Alice,ALICE-PERP,6692227.78
icp,Internet Computer,ICP-PERP,6688919.0662
cake,PancakeSwap,CAKE-PERP,6648887.49025
ksm,Kusama,KSM-PERP,6581407.0838
omg,OMG Network,OMG-PERP,6324370.98105
qtum,Qtum,QTUM-PERP,5938677.2385
kshib,Kilo Shiba Inu,KSHIB-PERP,5935687.97631
hnt,Helium,HNT-PERP,5825567.77622
theta,Theta Network,THETA-PERP,5632610.79643
yfi,yearn.finance,YFI-PERP,5586768.475
sxp,Swipe,SXP-PERP,5319008.04155
